Iloko,English
dua-a-lebel a tarabay,two-level guide
kangrunaan a kapanunotan,main idea
katulungan a kapanunotan,supporting idea
pannaka-skeleton,skeleton structure
panagala ti asin dagiti tao.,the people getting salt.
inbennat ti higante ti gurongna...,the giant stretched his legs...
imnapgad ti danum iti baybay.,the sea water became salty.
kasapulan iti lubong ti danum.,the need for water in the world.
uminom ti danum dagiti tao ken ayup tapno agbiag.,people and animals drink water to live.
ni levi celerio,levi celerio
nalatak a tumutukar a filipino.,a famous filipino composer.
didigra ti covid19,the calamity of covid-19
panangliklik iti covid 19,preventing covid-19
papanan iti tattao ti aldaw iti domingo.,where people go on sunday.
agdadengngeg da't misa,they listen to mass
kangrunaan a moda ti transportasion,main modes of transportation
jeep ti kangrunaan ken kalatakan a moda...,jeep is the primary and most common mode...
isagana a makan,food being prepared
isuda ti mangsala ti nasudi.,they will dance the nasudi.
ti naayat nga ubbing,the kind child
nainayad a simmerok ti pusa idiay tugaw.,the cat jumped carefully onto the chair.
nabuntog a magna ti pag-ong.,the turtle walks slowly.
maragsakan ti ubing iti kinapintas ti naawatna a sagut.,the child was happy because of the beauty of the gift he received.
nangato ti tayab dagiti billit.,the birds fly high.
dayawek ti kinaanus ni apongmo.,i admire the patience of your grandparent.
napigsa a komugtar ti kabalio ni cardo.,cardo's horse kicked strongly.
napardas ti panagbasa ni allan.,allan reads quickly.
nasapa a simrek ni mario idiay eskuelaan.,mario entered the school early.
limmagtoak a daras idi nakaktitrak ti uleg.,i jumped immediately when i stepped on the snake.
naurnos a naimula dagiti nateng ni tatangko.,my father's vegetables were planted orderly.
naulimek ti panagsao ni nana eva.,nana eva speaks quietly.
agdardaras a napan idiay taltalon ta agtudon.,he went to the field hurriedly because it's raining.
dinengngegko a napigsa ti bosses ni tatangko.,i heard my father's voice loudly.
naragsakan a nakakita ni inangko kaniak.,my mother saw me happily.
nainayad a magna ti pusa.,the cat walks slowly.
nasayaat nga agad-adal ni brent.,brent studies well.
nasapa nga agrirling ni manangko.,my sister sings early.
nakaem a kumagat ti tarakemni nga aso.,our dog bites ferociously.
naringgor ti panagdalluyon ti danum idiay baybay.,the water flows roughly in the sea.
inawatko a naragsak ti sagot ni silvia.,i received silvia's gift happily.
nasival a naturog ti ubing.,the child slept soundly.
nasiglat a nagaramid ti pagmulaan ni bimbo.,bimbo made the garden plot energetically.
napardas a limmabas ti motor.,the motorcycle passed by quickly.
nagadal a napasnek ni adingko.,my younger sibling studied diligently.
nainayad a magna ni tatang kulas.,old man kulas walks slowly.
nasiglat a sunungbat ni kiko kadagiti mannursuro.,kiko answers the teachers energetically.
nasam-it nga umisem ni thalia.,thalia smiles sweetly.
napardas a tumaray ti asok.,my dog runs quickly.
nadumanay nga agsao ni lolangko.,my grandmother speaks gently.
